resourceinstanceidfrom,relationshiptype,resourceinstanceidto,dateended,notes
096c59bb-c877-4af2-8ce1-2abd70626d22,http://www.cidoc-crm.org/cidoc-crm/P67,a179fd23-0cd2-4798-afcf-3cc0af5934c3,,
096c59bb-c877-4af2-8ce1-2abd70626d22,http://www.cidoc-crm.org/cidoc-crm/P67,1548c6f6-1641-4a58-8810-6f1a58c9e075,,
096c59bb-c877-4af2-8ce1-2abd70626d22,http://www.cidoc-crm.org/cidoc-crm/P67,9dfd29aa-2c5d-4d8c-ad0c-2940bab90a5f,,
61c419f0-461f-4cc9-877e-12a040e180a6,http://www.cidoc-crm.org/cidoc-crm/P67,bf316dc3-27ca-4546-9429-c0e141155672,,
fc7bb151-037b-48ab-ab2c-4bfb7969fae8,http://www.cidoc-crm.org/cidoc-crm/P67,d5e4c992-a394-4999-8146-4d6bfb98fa91,,
fc7bb151-037b-48ab-ab2c-4bfb7969fae8,http://www.cidoc-crm.org/cidoc-crm/P67,5687708d-4ee3-4ff9-892f-6401d9092fde,,
f9a3089b-aade-496f-836c-bd684f80e8be,http://www.cidoc-crm.org/cidoc-crm/P67,d5e4c992-a394-4999-8146-4d6bfb98fa91,,
f9a3089b-aade-496f-836c-bd684f80e8be,http://www.cidoc-crm.org/cidoc-crm/P67,186e73f3-d51a-438f-a4aa-f206199c1704,,
8a5e504f-d7cb-4a4d-818d-da5ced56d9ce,http://www.cidoc-crm.org/cidoc-crm/P67,f0f3b97c-26ad-4543-9c81-f1518f6e41b3,,
8a5e504f-d7cb-4a4d-818d-da5ced56d9ce,http://www.cidoc-crm.org/cidoc-crm/P67,8ae4ef24-3d17-4cd8-bd5b-65707a28bf07,,
59a63c3f-bd5e-4934-8651-1c0ea75a0af1,http://www.cidoc-crm.org/cidoc-crm/P67,f0f3b97c-26ad-4543-9c81-f1518f6e41b3,,
59a63c3f-bd5e-4934-8651-1c0ea75a0af1,http://www.cidoc-crm.org/cidoc-crm/P67,8ae4ef24-3d17-4cd8-bd5b-65707a28bf07,,
f76140c8-b086-4d80-a0f5-5b52e19707ce,http://www.cidoc-crm.org/cidoc-crm/P67,ce09a96e-75a3-43f8-a1e7-e49ab0684eb4,,
f76140c8-b086-4d80-a0f5-5b52e19707ce,http://www.cidoc-crm.org/cidoc-crm/P67,73c64645-601f-40c5-af55-5b906cffc7b3,,
f76140c8-b086-4d80-a0f5-5b52e19707ce,http://www.cidoc-crm.org/cidoc-crm/P67,dbb72d63-d1ba-4205-9821-e364cf9a83ed,,
f76140c8-b086-4d80-a0f5-5b52e19707ce,http://www.cidoc-crm.org/cidoc-crm/P67,abd7aa71-99dd-4e0a-8b3c-ac2f7c06732f,,
f76140c8-b086-4d80-a0f5-5b52e19707ce,http://www.cidoc-crm.org/cidoc-crm/P67,8615d07a-8d9e-4fbb-9b9e-7895734c4f2a,,
f76140c8-b086-4d80-a0f5-5b52e19707ce,http://www.cidoc-crm.org/cidoc-crm/P67,1aa88cd3-fcff-4078-b66e-a6db4f2d85ea,,
f76140c8-b086-4d80-a0f5-5b52e19707ce,http://www.cidoc-crm.org/cidoc-crm/P67,079aae6b-dd6e-4a33-8afc-6e2c7de19d5f,,
f76140c8-b086-4d80-a0f5-5b52e19707ce,http://www.cidoc-crm.org/cidoc-crm/P67,daed500b-d7e3-4900-b21a-c621575939ac,,
f76140c8-b086-4d80-a0f5-5b52e19707ce,http://www.cidoc-crm.org/cidoc-crm/P67,bbf347f2-60c3-447a-a790-fcd4bb5ad162,,
842f9db1-cb86-40e3-ac47-1477c70b7b75,http://www.cidoc-crm.org/cidoc-crm/P67,6e7016bb-ee60-48b6-b2d9-e24bd05c4bbf,,
842f9db1-cb86-40e3-ac47-1477c70b7b75,http://www.cidoc-crm.org/cidoc-crm/P67,c9f0ad2d-b447-4891-b2e7-de535d64534b,,
842f9db1-cb86-40e3-ac47-1477c70b7b75,http://www.cidoc-crm.org/cidoc-crm/P67,4af76eaa-8968-4c45-8c01-dda1ae93dbab,,
bc9fa589-63b7-45aa-9126-691629562551,http://www.cidoc-crm.org/cidoc-crm/P67,f0f3b97c-26ad-4543-9c81-f1518f6e41b3,,
bc9fa589-63b7-45aa-9126-691629562551,http://www.cidoc-crm.org/cidoc-crm/P67,8ae4ef24-3d17-4cd8-bd5b-65707a28bf07,,
bc9fa589-63b7-45aa-9126-691629562551,http://www.cidoc-crm.org/cidoc-crm/P67,c9f0ad2d-b447-4891-b2e7-de535d64534b,,
bc9fa589-63b7-45aa-9126-691629562551,http://www.cidoc-crm.org/cidoc-crm/P67,56e7e479-e03b-409e-8fda-614a88b0fb43,,
bc9fa589-63b7-45aa-9126-691629562551,http://www.cidoc-crm.org/cidoc-crm/P67,9c5ff0b1-38e9-40e8-95b5-6d7d412d4ebb,,
bc9fa589-63b7-45aa-9126-691629562551,http://www.cidoc-crm.org/cidoc-crm/P67,7c37152a-97ae-4fca-b55a-2bd9f1429153,,
